pa_s,grupo_edad,cant,
ARUBA,ADULTO,1,
COSTA RICA,ADULTO JOVEN,1,
COSTA RICA,ADULTO,1,
VENEZUELA,ADULTO,1,
BRASIL,ADULTO,1,
ESTADOS UNIDOS,INFANTE,1,
ESPAÑA,ADULTO,1,
CHILE,ADULTO,6,
ECUADOR,ADULTO,1,
ECUADOR,ADULTO,1,
ESTADOS UNIDOS,ADULTO,1,
ESTADOS UNIDOS,ADULTO,1,
VENEZUELA,ADULTO,4,
NUEVA ZELANDA,ADULTO,1,
ARUBA,ADULTO,1,
VENEZUELA,ADULTO MAYOR,1,
ESPAÑA,ADULTO,1,
ESTADOS UNIDOS,ADULTO,1,
VENEZUELA,ADULTO MAYOR,1,
ESPAÑA,ADOLESCENTE,1,
BRASIL,ADULTO,1,
VENEZUELA,ADULTO,1,
VENEZUELA,ADULTO,1,
ESTADOS UNIDOS,ADULTO,1,
ESTADOS UNIDOS,ADULTO,3,
ESPAÑA,ADULTO,1,
ITALIA,ADULTO JOVEN,1,
ESPAÑA,ADULTO,1,
CHILE,ADULTO,1,
VENEZUELA,ADULTO MAYOR,3,
ESPAÑA,ADULTO,3,
ARGENTINA,ADULTO JOVEN,1,
ESTADOS UNIDOS,ADULTO MAYOR,1,
ESPAÑA,ADULTO,1,
ESTADOS UNIDOS,ADULTO,4,
